ObjectID,EmployeeID,UUID,UserID,IdentityUUID,GlobalUserID,BusinessPartnerID,EmployeeValidityStartDate,EmployeeValidityEndDate,BusinessPartnerFormattedName,TitleCode,TitleCodeText,AcademicTitleCode,AcademicTitleCodeText,FirstName,MiddleName,LastName,SecondLastName,NickName,GenderCode,GenderCodeText,MaritalStatusCode,MaritalStatusCodeText,LanguageCode,LanguageCodeText,NationalityCountryCode,NationalityCountryCodeText,BirthName,BirthDate,BirthPlace,FormattedPostalAddressDescription,CountryCode,CountryCodeText,RegionCode,RegionCodeText,CareOfName,AddressLine1,AddressLine2,HouseNumber,Street,AddressLine4,AddressLine5,District,City,DifferentCity,PostalCode,County,CompanyPostalCode,POBox,POBoxPostalCode,POBoxCountryCode,POBoxCountryCodeText,POBoxRegionCode,POBoxRegionCodeText,POBoxCity,TimeZoneCode,TimeZoneCodeText,TaxJurisdictionCode,TaxJurisdictionCodeText,Building,Floor,Room,InhouseMail,OfficePhoneNumber,NormalisedOfficePhoneNumber,MobilePhoneNumber,NormalisedMobilePhoneNumber,FaxNumber,Email,UserValidityStartDate,UserValidityEndDate,UserPasswordPolicyCode,UserPasswordPolicyCodeText,UserLockedIndicator,UserCountedIndicator,CreatedOn,CreatedBy,CreatedByIdentityUUID,ChangedOn,ChangedBy,ChangedByIdentityUUID,EntityLastChangedOn,ETag
00163E03A0701EE288BA37FB8F5F50A9,E1000,00163E03-A070-1EE2-88BA-37FB8F5F50A9,USSALESREP01,00163E03-A070-1EE2-88BA-37FB8F7790A9,,8000000001,0000-12-30,9999-12-31,Mike Summers,0002,Mr.,,,Mike,,Summers,,,1,Male,1,Single,,,US,United States,,1973-10-09,,3410 Hillview Avenue / Palo Alto 94304 / US,US,United States,CA,California,,,,3410,Hillview Avenue,,,,Palo Alto,,94304,,,,,,,,,,PST,"(UTC-08:00) Pacific Time (Los Angeles, Tijuana, Yukon)",,,,,,,+1 (650) 555-5014,+16505555014,+1 (650) 555-5014,+16505555014,,ussalesrep01@sap.com,2012-10-29,9999-12-31,C_ALMIKA_BUSINESS_USER,,false,true,2012-10-29T14:05:53.224Z,SAP WORKER,00163E03-A070-1EE2-88B6-F539A6B028F3,2018-07-09T09:28:43.649Z,Robert Mark,00163E0C-84E2-1ED7-80DF-DF0660BB2577,2020-05-06T06:42:46.000Z,2022-06-30T01:35:37.193Z
00163E03A0701EE288BA384A3440D0AA,E1001,00163E03-A070-1EE2-88BA-384A3440D0AA,USSALESREP02,00163E03-A070-1EE2-88BA-384A345910AA,,8000000002,0000-12-30,9999-12-31,Phil Hughes,0002,Mr.,,,Phil,,Hughes,,,1,Male,1,Single,,,US,United States,,1981-05-12,,3410 Hillview Avenue / Palo Alto 94304 / US,US,United States,CA,California,,,,3410,Hillview Avenue,,,,Palo Alto,,94304,,,,,,,,,,PST,"(UTC-08:00) Pacific Time (Los Angeles, Tijuana, Yukon)",,,,,,,+1 (650) 555-5015,+16505555015,+1 (650) 555-5015,+16505555015,,USSalesrep02@ondemand.com,2012-10-29,9999-12-31,C_ALMIKA_BUSINESS_USER,,false,true,2012-10-29T14:05:57.379Z,SAP WORKER,00163E03-A070-1EE2-88B6-F539A6B028F3,2016-07-13T11:41:32.156Z,Technical User SAP_SYSTEM,00163E03-A06A-1EE2-87C4-A680EDD73F8D,2020-05-06T06:42:46.000Z,2022-06-30T01:35:37.193Z
00163E03A0701EE288BA387992C810AA,E1002,00163E03-A070-1EE2-88BA-387992C810AA,USSALESREP03,00163E03-A070-1EE2-88BA-387992E050AA,,8000000003,0000-12-30,9999-12-31,Diane Williams,0001,Ms.,,,Diane,,Williams,,,2,Female,1,Single,,,US,United States,,1985-02-17,,3410 Hillview Avenue / Palo Alto 94304 / US,US,United States,CA,California,,,,3410,Hillview Avenue,,,,Palo Alto,,94304,,,,,,,,,,PST,"(UTC-08:00) Pacific Time (Los Angeles, Tijuana, Yukon)",,,,,,,+1 (650) 555-5016,+16505555016,+1 925 8980909,+19258980909,,USSalesrep03@ondemand.com,2012-10-29,9999-12-31,C_ALMIKA_BUSINESS_USER,,false,true,2012-10-29T14:05:59.897Z,SAP WORKER,00163E03-A070-1EE2-88B6-F539A6B028F3,2019-10-16T08:27:53.288Z,Nancy Lisa,00163E0C-84E2-1ED7-80DF-F2D37F5E25EA,2020-05-06T06:42:46.000Z,2022-06-30T01:35:37.193Z
00163E03A0701EE288BA38B0378950AA,E1003,00163E03-A070-1EE2-88BA-38B0378950AA,USSALESREP04,00163E03-A070-1EE2-88BA-38B037A190AA,,8000000004,0000-12-30,9999-12-31,John Kim,0002,Mr.,,,John,,Kim,,,1,Male,1,Single,,,US,United States,,1979-08-19,,3410 Hillview Avenue / Palo Alto 94304 / US,US,United States,CA,California,,,,3410,Hillview Avenue,,,,Palo Alto,,94304,,,,,,,,,,PST,"(UTC-08:00) Pacific Time (Los Angeles, Tijuana, Yukon)",,,,,,,+1 (650) 555-5017,+16505555017,+1 (650) 999-1212,+16509991212,,USSalesrep04@ondemand.com,2012-10-29,9999-12-31,C_ALMIKA_BUSINESS_USER,,false,true,2012-10-29T14:06:02.737Z,SAP WORKER,00163E03-A070-1EE2-88B6-F539A6B028F3,2016-07-13T11:41:32.156Z,Technical User SAP_SYSTEM,00163E03-A06A-1EE2-87C4-A680EDD73F8D,2020-05-06T06:42:46.000Z,2022-06-30T01:35:37.193Z
00163E03A0701EE288BA38E292E250AA,E1004,00163E03-A070-1EE2-88BA-38E292E250AA,USSALESREP05,00163E03-A070-1EE2-88BA-38E292FA90AA,,8000000005,0000-12-30,9999-12-31,Bob Menson,0002,Mr.,,,Bob,,Menson,,,1,Male,2,Married,,,US,United States,,1983-05-01,,3410 Hillview Avenue / Palo Alto 94304 / US,US,United States,CA,California,,,,3410,Hillview Avenue,,,,Palo Alto,,94304,,,,,,,,,,PST,"(UTC-08:00) Pacific Time (Los Angeles, Tijuana, Yukon)",,,,,,,+1 (650) 555-5018,+16505555018,+1 (650) 8888888,+16508888888,,USSalesrep05@ondemand.com,2012-10-29,9999-12-31,C_ALMIKA_BUSINESS_USER,,false,true,2012-10-29T14:06:05.416Z,SAP WORKER,00163E03-A070-1EE2-88B6-F539A6B028F3,2017-04-26T05:59:16.819Z,Eddie Smoke,00163E03-A070-1EE2-88BA-39BD20F290B5,2020-05-06T06:42:46.000Z,2022-06-30T01:35:37.193Z
00163E03A0701EE288BA39174566D0B3,E1005,00163E03-A070-1EE2-88BA-39174566D0B3,USSALESMAN,00163E03-A070-1EE2-88BA-3917457F10B3,,8000000006,0000-12-30,9999-12-31,Kate Jacob,0001,Ms.,,,Kate,,Jacob,,,2,Female,1,Single,,,US,United States,,1977-04-07,,3410 Hillview Avenue / Palo Alto 94304 / US,US,United States,CA,California,,,,3410,Hillview Avenue,,,,Palo Alto,,94304,,,,,,,,,,PST,"(UTC-08:00) Pacific Time (Los Angeles, Tijuana, Yukon)",,,,,,,+1 (415) 279-4359,+14152794359,+1 (415) 279-4359,+14152794359,,ussalesman@ondemand.com,2012-10-29,9999-12-31,C_ALMIKA_BUSINESS_USER,,false,true,2012-10-29T14:06:08.499Z,SAP WORKER,00163E03-A070-1EE2-88B6-F539A6B028F3,2018-08-31T10:33:47.220Z,Robert Mark,00163E0C-84E2-1ED7-80DF-DF0660BB2577,2020-05-06T06:45:44.000Z,2022-06-30T01:35:37.193Z
00163E03A0701EE288BA39361729B0B4,E1006,00163E03-A070-1EE2-88BA-39361729B0B4,USROCKSTAR01,00163E03-A070-1EE2-88BA-395BE34910B4,,8000000007,0000-12-30,9999-12-31,USRock Star1,,,,,USRock,,Star1,,,0,Gender not known,,,,,US,United States,,,,3410 Hillview Avenue / Palo Alto 94304 / US,US,United States,CA,California,,,,3410,Hillview Avenue,,,,Palo Alto,,94304,,,,,,,,,,PST,"(UTC-08:00) Pacific Time (Los Angeles, Tijuana, Yukon)",,,,,,,+1 (650) 333-3434,+16503333434,+1 (650) 555-5020,+16505555020,,USRockstar01@ondemand.com,2012-10-29,9999-12-31,C_ALMIKA_BUSINESS_USER,,true,false,2012-10-29T14:06:11.535Z,SAP WORKER,00163E03-A070-1EE2-88B6-F539A6B028F3,2019-06-27T05:48:23.814Z,Robert Mark,00163E0C-84E2-1ED7-80DF-DF0660BB2577,2020-05-06T06:56:45.000Z,2022-06-30T01:35:37.193Z
00163E03A0701EE288BA398C9CBBB0B5,E1007,00163E03-A070-1EE2-88BA-398C9CBBB0B5,USROCKSTAR02,00163E03-A070-1EE2-88BA-398C9CD3F0B5,,8000000008,0000-12-30,9999-12-31,USRock Star2,,,,,USRock,,Star2,,,0,Gender not known,,,,,US,United States,,,,3410 Hillview Ave / Palo Alto 94304 / US,US,United States,CA,California,,,,3410,Hillview Ave,,,,Palo Alto,,94304,,,,,,,,,,PST,"(UTC-08:00) Pacific Time (Los Angeles, Tijuana, Yukon)",,,,,,,+1 (650) 555-5021,+16505555021,+1 (650) 54565907,+165054565907,,USRockstar02@ondemand.com,2012-10-29,9999-12-31,C_ALMIKA_BUSINESS_USER,,true,false,2012-10-29T14:06:14.301Z,SAP WORKER,00163E03-A070-1EE2-88B6-F539A6B028F3,2019-06-27T05:48:23.814Z,Robert Mark,00163E0C-84E2-1ED7-80DF-DF0660BB2577,2020-05-06T06:56:45.000Z,2022-06-30T01:35:37.193Z
00163E03A0701EE288BA39BD20DA50B5,E1008,00163E03-A070-1EE2-88BA-39BD20DA50B5,ADMINISTRATION01,00163E03-A070-1EE2-88BA-39BD20F290B5,,8000000009,0000-12-30,9999-12-31,Eddie Smoke,0002,Mr.,,,Eddie,,Smoke,,,1,Male,2,Married,,,US,United States,,1968-08-05,,Hillview Ave 3410 / 94304 Palo Alto / DE,DE,Germany,,,,,,3410,Hillview Ave,,,,Palo Alto,,94304,,,,,,,,,,CET,(UTC+01:00) Central European Time,,,,,,,+49 1715549810,+491715549810,+49 1715549810,+491715549810,,administration01@ondemand.com,2012-10-29,9999-12-31,C_ALMIKA_BUSINESS_USER,,false,true,2012-10-29T14:06:17.075Z,SAP WORKER,00163E03-A070-1EE2-88B6-F539A6B028F3,2017-08-10T14:01:59.416Z,Robert Mark,00163E0C-84E2-1ED7-80DF-DF0660BB2577,2020-08-19T08:14:31.000Z,2022-06-30T01:35:38.168Z
00163E03A0701EE288BA39EF6CF190B5,E1009,00163E03-A070-1EE2-88BA-39EF6CF190B5,USSALESOPS,00163E03-A070-1EE2-88BA-39EF6D09D0B5,,8000000010,0000-12-30,9999-12-31,Michael Johnes,0002,Mr.,,,Michael,,Johnes,,,1,Male,1,Single,,,US,United States,,1975-06-08,,3410 Hillview Ave / Palo Alto 94304 / US,US,United States,CA,California,,,,3410,Hillview Ave,,,,Palo Alto,,94304,,,,,,,,,,PST,"(UTC-08:00) Pacific Time (Los Angeles, Tijuana, Yukon)",,,,,,,+1 (650) 555-5023,+16505555023,+1 (650) 54565909,+165054565909,,USSalesOps@ondemand.com,2012-10-29,9999-12-31,C_ALMIKA_BUSINESS_USER,,false,true,2012-10-29T14:06:19.483Z,SAP WORKER,00163E03-A070-1EE2-88B6-F539A6B028F3,2016-07-13T11:41:32.156Z,Technical User SAP_SYSTEM,00163E03-A06A-1EE2-87C4-A680EDD73F8D,2020-05-08T07:23:46.000Z,2022-06-30T01:35:37.193Z
